Client Name,Asset ID,Asset Type,AMC Expiry Date,Email
TechNova Solutions,A001,Laptop,20-06-2025,it.support@technova.in
Infotech Corp,A002,Router,25-06-2025,network.admin@infotechcorp.com
ByteWorks Pvt Ltd,A003,CCTV,30-06-2025,security@byteworks.in
NetSecure Ltd,A004,Desktop,05-07-2025,admin@netsecure.co.in
Syscom Systems,A005,Laptop,10-07-2025,support@syscom.in
DataGuard Technologies,A006,Biometric,03-07-2025,amc@dataguard.tech
CyberWave,A007,Firewall,29-06-2025,infra@cyberwave.net
InfiLogic,A008,Server,08-07-2025,server.team@infilogic.com
SkyBridge Networks,A009,Switch,28-06-2025,helpdesk@skybridge.co.in
VedaComm,A010,Laptop,12-07-2025,it@vedacomm.in
Prime Infotech,A011,Router,26-06-2025,router.team@primeinfotech.com
SecureOne Pvt Ltd,A012,Desktop,01-07-2025,services@secureone.in
DeltaNet Solutions,A013,Server,06-07-2025,itadmin@deltanet.tech
Aegis Digital,A014,Biometric,09-07-2025,support@aegisdigital.in
BlueStack IT,A015,CCTV,27-06-2025,tech@bluestackit.com
